Producto,Origen,Tamaño,Unidad de Venta,Rango Bajo,Rango Alto,Rango Moda Bajo,Rango Moda Alto
"Aguacate Hass","México","Mediano","Caja plástica (6 kg)",370,380,370,370
"Aguacate Hass","México","Pequeño","Caja plástica (6 kg)",320,330,320,320
"Banano maduro","Guatemala","Mediano","Caja de cartón (40 lb)",220,240,220,220
"Banano verde","Guatemala","Mediano","Cien und (35 lb)",150,160,150,150
"Ciruela turca","Guatemala","Mediano","Cien und (7-8 lb)",70,70,,
"Coco con agua","Colon","Mediano","Cien und (450-500 lb)",1400,1400,,
"Limón Persa","Colon","Mediano","Cien und (20-25 lb)",350,400,350,350
"Limón Persa","El Progreso","Mediano","Cien und (20-25 lb)",350,400,350,350
"Mango corazón verde","Valle de Sula","Mediano","Cien und (40 lb)",350,350,,
"Mango Haden maduro","Valle de Sula","Mediano","Cien und (110-115 lb)",1200,1300,1200,1200
"Mango Haden maduro","Valle de Sula","Mediano","Cien und (110-115 lb)",700,700,,
"Manzana Gala, CAT 1","Washington/E","Calibre 100","Caja de cartón (18 kg)",1400,1400,,
"Manzana Golden Delicious,","Washington/E","Calibre 100","Caja de cartón (18 kg)",1400,1400,,
"Manzana Granny Smith,","Washington/E","Calibre 100","Caja de cartón (18 kg)",1400,1400,,
"Manzana Red Delicious,","Washington/E","Calibre 100","Caja de cartón (18 kg)",1200,1200,,
"Manzana Red Delicious,","Washington/E","Calibre 113","Caja de cartón (18 kg)",1200,1200,,
"Manzana Red Delicious,","Washington/E","Calibre 163","Caja de cartón (18 kg)",1200,1200,,
"Manzana Red Delicious,","Washington/E","Calibre 80","Caja de cartón (18 kg)",1200,1200,,
"Manzana Red Delicious,","Washington/E","Calibre 88","Caja de cartón (18 kg)",1200,1200,,
"Maracuyá en pulpa","Valle de Sula","Sin tamaño","Libra",25,25,,
"Melón Cantaloupe tipo","Guatemala","Grande","Cien und (600 lb)",3000,3000,,
"Melón Cantaloupe tipo","Guatemala","Mediano","Cien und (350 lb)",2500,2500,,
"Melón Cantaloupe tipo","Guatemala","Pequeño","Cien und (250 lb)",2000,2000,,
"Mora","Belén Gualcho","Sin tamaño","Libra",40,40,,
"Mora con agua","Belén Gualcho","Sin tamaño","Libra",25,25,,
"Nance ácido","Tela","Mediano","Libra",20,20,,
"Naranja Valencia","Sonaguera","Pequeño","Cien und (45-50 lb)",330,340,330,330
"Naranja Valencia","Sonaguera","Mixto","Cien und (70-80 lb)",440,440,,
"Papaya Maradol","Yoro","Grande","Docena (96 lb)",340,350,340,340
"Papaya Maradol","Yoro","Mediano","Docena (72 lb)",240,250,240,240
"Papaya Maradol","Yoro","Pequeño","Docena (50-55 lb)",140,140,,
"Piña Golden","Lago de Yojoa","Grande","Cien und (600 lb)",4000,4000,,
"Piña Golden","Lago de Yojoa","Mediano","Cien und (400 lb)",3000,3000,,
"Piña Golden","Lago de Yojoa","Pequeño","Cien und (250 lb)",2000,2000,,
"Plátano maduro","Guatemala","Pequeño","Cien und (50 lb)",300,320,300,300
"Plátano verde","Guatemala","Pequeño","Cien und (52 lb)",300,320,300,300
"Sandía Mickey Lee","Yoro","Grande","Cien und (1,400-1,500 lb)",6000,6000,,
"Sandía Mickey Lee","Yoro","Mediano","Cien und (1,000-1,100 lb)",5000,5000,,
"Sandía Mickey Lee","Yoro","Pequeño","Cien und (600-800 lb)",4000,4000,,
"Tamarindo sin cáscara","Choluteca","Sin tamaño","Libra",30,30,,
"Uva Red Globe, CAT 1","Peru","Grande","Caja plástica (18 lb)",1100,1100,,
